t=2026-06-14T14:48:39+0000 lvl=info msg="command usage" msg="Flag --domain has been deprecated, use --url instead"
t=2026-06-14T14:48:39+0000 lvl=info msg="no configuration paths supplied"
t=2026-06-14T14:48:39+0000 lvl=info msg="using configuration at default config path" path=/root/.config/ngrok/ngrok.yml
t=2026-06-14T14:48:39+0000 lvl=info msg="open config file" path=/root/.config/ngrok/ngrok.yml err=nil
t=2026-06-14T14:48:39+0000 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-14T14:48:39+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-14T14:48:39+0000 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-14T14:48:39+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-14T15:02:27+0000 lvl=info msg="join connections" obj=join id=957870dbb3f0 l=127.0.0.1:8000 r=34.12.125.176:39890
t=2026-06-14T15:02:48+0000 lvl=info msg="join connections" obj=join id=f669113887e8 l=127.0.0.1:8000 r=115.79.37.109:64581
t=2026-06-14T15:03:05+0000 lvl=info msg="join connections" obj=join id=ac916ebbd942 l=127.0.0.1:8000 r=34.12.125.176:49274
t=2026-06-14T15:03:20+0000 lvl=info msg="join connections" obj=join id=949effd50f51 l=127.0.0.1:8000 r=115.79.37.109:64017
t=2026-06-14T15:03:37+0000 lvl=info msg="join connections" obj=join id=c606668ba664 l=127.0.0.1:8000 r=34.12.125.176:47362
t=2026-06-14T15:03:47+0000 lvl=info msg="join connections" obj=join id=c36d3ebf752d l=127.0.0.1:8000 r=115.79.37.109:51926
t=2026-06-14T15:04:03+0000 lvl=info msg="join connections" obj=join id=4777c0cae0da l=127.0.0.1:8000 r=34.12.125.176:55362
t=2026-06-14T15:04:34+0000 lvl=info msg="join connections" obj=join id=4aad473f0540 l=127.0.0.1:8000 r=115.79.37.109:50130
t=2026-06-14T15:04:41+0000 lvl=info msg="join connections" obj=join id=df84891c28c2 l=127.0.0.1:8000 r=34.12.125.176:52590
t=2026-06-14T15:04:46+0000 lvl=info msg="join connections" obj=join id=c51d15d5e2a5 l=127.0.0.1:8000 r=[2405:4802:9191:bb30:a8f5:7699:189e:b83c]:53810
t=2026-06-14T15:05:11+0000 lvl=info msg="join connections" obj=join id=c421a4cfa7e0 l=127.0.0.1:8000 r=115.79.37.109:65404
t=2026-06-14T15:05:28+0000 lvl=info msg="join connections" obj=join id=4c8d4908dea6 l=127.0.0.1:8000 r=34.12.125.176:59734
t=2026-06-14T15:05:48+0000 lvl=info msg="join connections" obj=join id=d8af3121b0f4 l=127.0.0.1:8000 r=115.79.37.109:54048
t=2026-06-14T15:06:06+0000 lvl=info msg="join connections" obj=join id=bd7bb0c79337 l=127.0.0.1:8000 r=34.12.125.176:53018
t=2026-06-14T15:06:26+0000 lvl=info msg="join connections" obj=join id=bb7f3460582a l=127.0.0.1:8000 r=115.79.37.109:51112
t=2026-06-14T15:06:43+0000 lvl=info msg="join connections" obj=join id=ef296c85dcd9 l=127.0.0.1:8000 r=34.12.125.176:48564
t=2026-06-14T15:07:03+0000 lvl=info msg="join connections" obj=join id=6e55cc8630d8 l=127.0.0.1:8000 r=115.79.37.109:51229
t=2026-06-14T15:07:20+0000 lvl=info msg="join connections" obj=join id=57c992574fe9 l=127.0.0.1:8000 r=34.12.125.176:50292
t=2026-06-14T15:07:41+0000 lvl=info msg="join connections" obj=join id=fbaad6d69be0 l=127.0.0.1:8000 r=115.79.37.109:53492
